lam_pd,lam_nonpd
2.9179385983382247,3.9179385983382247
2.9179385983382247,3.9179385983382247
2.9138443181926528,3.9138443181926528
2.9138442850784094,3.9138442850784094
2.9166148337673947,3.9166148337673947
2.9138442850784094,3.9138442850784094
2.91405175166987,3.91405175166987
2.9128820828229562,3.9128820828229562
2.914611231522884,3.914611231522884
2.8506566413466707,3.8506566413466707
2.8501161311663212,3.8501161311663212
2.862172006068914,3.862172006068914
2.859124555850627,3.859124555850627
2.859512167084551,3.859512167084551
2.8594842644636898,3.8594842644636898
2.5203287413196542,3.5203287413196542
2.104301940564641,3.104301940564641
2.0999935055606134,3.0999935055606134
2.094237246580152,3.094237246580152
2.099740261538208,3.099740261538208
2.0908956956753686,3.0908956956753686
1.9507377710642129,2.9507377710642126
1.9040076514946525,2.9040076514946525
1.3636968268654641,2.363696826865464
3.0,3.0
1.3647963721035201,2.36479637210352
1.3646135669874568,2.364613566987457
3.0,3.0
1.0472172805186937,2.0472172805186934
3.0,3.0
